Id,Name,Address,City,County,State,Status,Latitude,Longitude,Beds,Trauma,Helipad
24392683,Kindred Hospital Westminster,200 Hospital Circle,Westminster,Orange,California,Open,33.7635332090001,-117.995255963,109,Not Available,N
22093277,Kaweah Delta Mental Health Hospital D/P Aph,1100 So. Akers Street,Visalia,Tulare,California,Open,36.320843946,-119.348234528,63,Not Available,N
5870563,Dauterive Hospital,600 N Lewis Ave.,New Iberia,Iberia,Louisiana,Open,30.006906977,-91.794523853,103,Not Available,Y
13177954,Crockett Medical Center,1100 East Loop 304,Crockett,Houston,Texas,Open,31.32360364,-95.4388993059999,25,Not Available,Y
4671360,Central Louisiana State Hospital,242 W Shamrock Ave,Pineville,Rapides,Louisiana,Open,31.3273789420001,-92.4401351129999,128,Not Available,N
15671222,Reeves Memorial Medical Center,409 1St St,Bernice,Union,Louisiana,Open,32.8239916700001,-92.656648681,11,Not Available,Y
16971241,Serenity Springs Specialty Hospital,309 N Main St,Farmerville,Union,Louisiana,Open,32.776127934,-92.4056258479999,18,Not Available,N
15371373,Riverbridge Specialty Hospital,209 Front St.,Vidalia,Concordia,Louisiana,Open,31.5611748630001,-91.4260669829999,40,Not Available,N
5371418,Citizens Medical Center,7939 Highway 165,Columbia,Caldwell,Louisiana,Open,32.0600399510001,-92.099137669,40,Not Available,N
70990806,College Medical Center,2776 Pacific Avenue,Long Beach,Los Angeles,California,Open,33.8070928700001,-118.193389929,121,Not Available,N
71794577,Kaiser Foundation Hospital - San Leandro,2500 Merced Street,San Leandro,Alameda,California,Open,37.706406198,-122.164654518,216,Not Available,N
72590723,Kindred Hospital Paramount,16453 South Colorado Avenue,Paramount,Los Angeles,California,Open,33.8846318610001,-118.162267066,177,Not Available,N
73790650,Department Of State Hospital-Metropolitan,11401 Bloomfield Avenue,Norwalk,Los Angeles,California,Open,33.928031349,-118.067989672,1265,Not Available,N
196162274,Pinckneyville Community Hospital,5383 State Route 154,Pinckneyville,Perry,Illinois,Open,38.084846,-89.3491079999999,17,Not Available,Y
85531419,St Joseph'S Hospital - Savannah,11705 Mercy Boulevard,Savannah,Chatham,Georgia,Open,31.985430321,-81.154556369,294,Not Available,Y
86630165,Kindred Hospital Rome,320 Turner Mccall Boulevard,Rome,Floyd,Georgia,Open,34.259713445,-85.1802396319999,45,Not Available,N
87130286,Upson Regional Medical Center,801 W Gordon Street,Thomaston,Upson,Georgia,Open,32.886297701,-84.3365069879999,115,Not Available,N
87531719,Phoebe Sumter Medical Center,126 Highway 280 W,Americus,Sumter,Georgia,Open,32.0669623380001,-84.2560501999999,76,Not Available,Y
87931830,Roosevelt Warm Springs Ltac Hospital,6135 Roosevelt Highway,Warm Springs,Meriwether,Georgia,Open,32.887980741,-84.6923449,32,Not Available,N
90030265,Southeastern Regional Medical Center,600 Celebrate Life Pkwy,Newnan,Coweta,Georgia,Open,33.3848346460001,-84.757746692,50,Not Available,N
2054311,Brown Cty Community Treatment Center,3150 Gershwin Drive,Green Bay,Brown,Wisconsin,Open,44.522712261,-87.924827084,16,Not Available,N
151253226,Wheaton Franciscan Wi Heart Spine And Ortho,10000 West Bluemound Road,Wauwatosa,Milwaukee,Wisconsin,Open,43.0358121520001,-88.037265823,40,Not Available,N
159171301,Compass Behavioral Center Of Alexandria,6410 Masonic Drive,Alexandria,Rapides,Louisiana,Open,31.252191558,-92.481987814,18,Not Available,N
163570394,Ocshner St. Anne General Hospital,4608 Highway 1,Raceland,Lafourche,Louisiana,Open,29.7026714240001,-90.565253898,38,Not Available,Y
160970056,United Medical Healthwest-New Orleans,3201 Wall Boulevard,Gretna,Jefferson,Louisiana,Open,29.865979474,-90.03069185,14,Not Available,N
152354971,Ripon Medical Center,845 Parkside St,Ripon,Fond Du Lac,Wisconsin,Open,43.8343760920001,-88.817751529,18,Level Iv,Y
5854452,Ascension Good Samaritan Hlth Ctr,601 S Center Ave,Merrill,Lincoln,Wisconsin,Open,45.1756325370001,-89.681831276,25,Level Iv,Y
58796001,Restpadd Psychiatric Health Facility,2750 Eureka Way,Redding,Shasta,California,Open,40.586595392,-122.411974107,16,Not Available,N
59093436,The Champion Center,303 South C Street,Lompoc,Santa Barbara,California,Open,34.6353716090001,-120.452188325,34,Not Available,N
21891761,Kaiser Fnd Hosp Ontario Medical Center Campus,2295 S. Vineyard Avenue,Ontario,San Bernardino,California,Open,34.0320795600001,-117.60859933,176,Not Available,N
25692354,Loma Linda Univ. Med. Center East Campus Hospital,25333 Barton Road,Loma Linda,San Bernardino,California,Open,34.047305635,-117.251636776,134,Not Available,N
44792404,St. Bernardine Medical Center,2101 North Waterman Avenue,San Bernardino,San Bernardino,California,Open,34.1346723570001,-117.277019975,342,Not Available,N
20092120,Kaiser Fnd Hosp - San Diego,4647 Zion Avenue,San Diego,San Diego,California,Open,32.7915625750001,-117.095159549,414,Not Available,N
40992037,Scripps Green Hospital,10666 North Torrey Pines Road,La Jolla,San Diego,California,Open,32.896858901,-117.24287107,173,Not Available,N
41092024,Scripps Memorial Hospital - Encinitas,354 Santa Fe Drive,Encinitas,San Diego,California,Open,33.0373447760001,-117.284183383,194,Not Available,Y
42292123,Sharp Mary Birch Hospital For Women And Newborns,3003 Health Center Drive,San Diego,San Diego,California,Open,32.7982957780001,-117.154977819,206,Not Available,Y
51092103,Uc San Diego Health Hillcrest - Hillcrest Medical Center,200 West Arbor Drive,San Diego,San Diego,California,Open,32.754770233,-117.165731384,390,Level I,Y
4894118,California Pacific Med Ctr-California West,3700 California Street,San Francisco,San Francisco,California,Open,37.786509197,-122.456030633,299,Not Available,N
5094115,California Pacific Med Ctr-Pacific Campus,2333 Buchanan Street,San Francisco,San Francisco,California,Open,37.7907045380001,-122.431294533,309,Not Available,N
46594117,"St. Mary'S Medical Center, San Francisco",450 Stanyan Street,San Francisco,San Francisco,California,Open,37.77408876,-122.453751642,403,Not Available,N
20595403,Kaiser Fnd Hosp - Santa Rosa,401 Bicentennial Way,Santa Rosa,Sonoma,California,Open,38.471793006,-122.72706436,173,Not Available,N
19594590,Kaiser Fnd Hosp - Rehabilitation Center Vallejo,975 Sereno Drive,Vallejo,Solano,California,Open,38.12690208,-122.248377304,248,Not Available,N
53195695,Woodland Memorial Hospital,1325 Cottonwood Street,Woodland,Yolo,California,Open,38.663925024,-121.792145249,108,Not Available,N
1294609,Alta Bates Summit Med Ctr-Summit Campus-Summit,3100 Summit Street,Oakland,Alameda,California,Open,37.8201396110001,-122.26400415,75,Not Available,N
39794578,San Leandro Hospital,13855 East 14Th Street,San Leandro,Alameda,California,Open,37.712288347,-122.143493689,93,Not Available,N
46694545,St. Rose Hospital,27200 Calaroga Avenue,Hayward,Alameda,California,Open,37.6334419930001,-122.087912534,217,Not Available,N
45995204,St. Joseph'S Behavioral Health Center,2510 North California Street,Stockton,San Joaquin,California,Open,37.9765963,-121.291070926,35,Not Available,N
46095204,St. Joseph'S Medical Center Of Stockton,1800 North California Street,Stockton,San Joaquin,California,Open,37.970467188,-121.288182762,364,Not Available,Y
13291741,Foothill Presbyterian Hospital-Johnston Memorial,250 South Grand Avenue,Glendora,Los Angeles,California,Open,34.132654576,-117.871259716,105,Not Available,Y
14791204,Glendale Memorial Hospital And Health Center,1420 South Central Avenue,Glendale,Los Angeles,California,Open,34.128165628,-118.256643169,334,Not Available,N
19090027,Kaiser Foundation Los Angeles Medical Center,4867 Sunset Boulevard,Los Angeles,Los Angeles,California,Open,34.0985736490001,-118.294175331,460,Not Available,N
19391402,Kaiser Permanente Panorama City,13652 Cantara Street,Panorama City,Los Angeles,California,Open,34.2185641940001,-118.430219294,218,Not Available,N
36691356,Providence Tarzana Medical Center,18321 Clark Street,Tarzana,Los Angeles,California,Open,34.170393216,-118.531904059,249,Not Available,N
42990020,Shriners Hospital For Children - L.A.,3160 Geneva Street,Los Angeles,Los Angeles,California,Open,34.067204777,-118.286392079,60,Not Available,N
50190716,Gardens Regional Hospital And Medical Center,21530 South Pioneer Boulevard,Hawaiian Gardens,Los Angeles,California,Open,33.833640007,-118.079677951,107,Not Available,N
45295422,Adventist Health Clearlake,15630 18Th Ave - Hwy 53,Clearlake,Lake,California,Open,38.935618855,-122.620144532,32,Not Available,Y
6193638,Valley Children'S Hospital,9300 Valley Children'S Place,Madera,Madera,California,Open,36.8840478340001,-119.800242412,356,Not Available,Y
11792270,Eisenhower Medical Center,39-000 Bob Hope Drive,Rancho Mirage,Riverside,California,Open,33.7633520680001,-116.406241091,489,Not Available,Y
15295124,Good Samaritan Hospital-San Jose,2425 Samaritan Drive,San Jose,Santa Clara,California,Open,37.252078736,-121.946576875,404,Not Available,Y
20495051,Kaiser Fnd Hosp - Santa Clara,700 Lawrence Expressway,Santa Clara,Santa Clara,California,Open,37.3354013750001,-121.998873047,327,Not Available,Y
27094304,Lucile Salter Packard Children'S Hosp. At Stanford,725 Welch Road,Palo Alto,Santa Clara,California,Open,37.436004575,-122.175390036,302,Not Available,Y
19494063,Kaiser Fnd Hosp - Redwood City,1100 Veterans Boulevard,Redwood City,San Mateo,California,Open,37.488847836,-122.223390131,149,Not Available,N
18094520,John Muir Medical Center-Concord Campus,2540 East Street,Concord,Contra Costa,California,Open,37.9830895790001,-122.033496796,245,Not Available,N
47794509,Sutter Delta Medical Center,3901 Lone Tree Way,Antioch,Contra Costa,California,Open,37.9822344500001,-121.802978505,145,Not Available,N
19995825,Kaiser Fnd Hosp - Sacramento,2025 Morse Avenue,Sacramento,Sacramento,California,Open,38.601797751,-121.393144026,287,Not Available,N
43195945,Sierra Nevada Memorial Hospital,155 Glasson Way,Grass Valley,Nevada,California,Open,39.228016294,-121.047499779,104,Not Available,Y
24690623,La Palma Intercommunity Hospital,7901 Walker Street,La Palma,Orange,California,Open,33.8475141810001,-118.038302332,141,Not Available,Y
13795991,Fremont Medical Center,970 Plumas Street,Yuba City,Sutter,California,Open,39.143106319,-121.618012022,46,Not Available,N
10230143,Piedmont Mountainside Hospital,1266 East Church Street,Jasper,Pickens,Georgia,Open,34.4582486800001,-84.412912891,52,Not Available,N
15530606,St Marys Health Care System,1230 Baxter Street,Athens,Clarke,Georgia,Open,33.9472213170001,-83.4052524589999,196,Not Available,Y
14130080,Ridgeview Institute,3995 South Cobb Drive Se,Smyrna,Cobb,Georgia,Open,33.8564432910001,-84.51105483,216,Not Available,N
502891,Westerly Hospital,25 Wells St,Westerly,Washington,Rhode Island,Open,41.3621890750001,-71.825303241,125,Not Available,N
1553715,St Marys Hospital Madison,700 South Park St,Madison,Dane,Wisconsin,Open,43.0593384640001,-89.401429215,440,Not Available,Y
8253213,Aurora Psychiatric Hsptl,1220 Dewey Ave,Wauwatosa,Milwaukee,Wisconsin,Open,43.046765098,-88.007716433,105,Not Available,N
9753097,Columbia Center,13125 N Port Washington Rd,Mequon,Ozaukee,Wisconsin,Open,43.256677929,-87.926157962,17,Not Available,Y
4354923,Thedacare Medical Center Berlin,225 Memorial Drive,Berlin,Green Lake,Wisconsin,Open,43.9784771540001,-88.94122636,25,Not Available,Y
63072758,Mercy Hospital Rogers,2710 Rife Medical Lane,Rogers,Benton,Arkansas,Open,36.3089928530001,-94.18297802,208,Level Iii,Y
10454024,St Croix Reg Med Ctr,235 State Street,Saint Croix Falls,Polk,Wisconsin,Open,45.4090324310001,-92.642578117,25,Level Iv,Y
11854017,Westfields Hospital,535 Hospital Rd,New Richmond,St. Croix,Wisconsin,Open,45.1177607480001,-92.555500378,25,Level Iv,Y
12453081,St Nicholas Hospital,3100 Superior Ave,Sheboygan,Sheboygan,Wisconsin,Open,43.7623479010001,-87.747537955,185,Level Iv,Y
13154665,Vernon Mem Hsptl,507 South Main St,Viroqua,Vernon,Wisconsin,Open,43.551673973,-90.888391278,25,Level Iv,N
72390241,Pih Hospital - Downey,11500 Brookshire Avenue,Downey,Los Angeles,California,Open,33.9343517980001,-118.13090396,199,Not Available,N
72790503,Providence Little Company Of Mary Transitional Care Center,4320 Maricopa Street,Torrance,Los Angeles,California,Open,33.8393481160001,-118.359721519,115,Not Available,N
58592354,Loma Linda University Children'S Hospital,11234 Anderson Street,Loma Linda,San Bernardino,California,Open,34.050130832,-117.264094455,343,Not Available,Y
15254904,Ascension Ne Wisconsin Mercy Campus,500 S Oakwood Rd,Oshkosh,Winnebago,Wisconsin,Open,44.0124207170001,-88.601045493,157,Not Available,Y
75420007,Medstar-Georgetown University Medical Center,"3800 Reservoir Road, Nw",Washington,District of Columbia,District of Columbia,Open,38.9119585080001,-77.0752545729999,609,Not Available,Y
31233525,Advent Health Dade City,13100 Fort King Rd,Dade City,Pasco,Florida,Open,28.3479628600001,-82.2007200799999,120,Not Available,N
7233484,Delray Medical Center,5352 Linton Blvd,Delray Beach,Palm Beach,Florida,Open,26.4371928410001,-80.127787747,536,Level I,Y
36034758,Poinciana Medical Center,325 Cypress Pkwy,Kissimmee,Osceola,Florida,Open,28.144780763,-81.476687855,76,Not Available,Y
9802703,Arbour Fuller Hospital,200 May Street,Attleboro,Bristol,Massachusetts,Open,41.9240838480001,-71.3611225619999,103,Not Available,N
9702146,Arbour Human Resource Institute,227 Babcock Street,Brookline,Norfolk,Massachusetts,Open,42.3507795100001,-71.121242281,66,Not Available,N
36232068,Assencion St. Vincent'S Medical Center Clay County,1670 St. Vincent'S Way,Middleburg,Clay,Florida,Open,30.108762428,-81.832688692,106,Not Available,Y
36334471,Encompass Health Rehabilitation Hospital Of Ocala,2275 Sw 22Nd Lane,Ocala,Marion,Florida,Open,29.165875541,-82.1623349449999,60,Not Available,N
3906250,"Natchaug Hospital, Inc.",189 Storrs Rd,Mansfield Center,Tolland,Connecticut,Open,41.7411039190001,-72.198011482,57,Not Available,N
36634997,Encompass Health Rehabilitation Hospital At Martin Health,5850 Se Community Dr,Stuart,Martin,Florida,Open,27.133437293,-80.222455815,54,Not Available,N
10502114,Shriners' Hospital For Children,51 Blossom St,Boston,Suffolk,Massachusetts,Open,42.3630925480001,-71.066301879,30,Not Available,N
10602129,Spaulding Rehabilitation Hospital,300 1St Ave,Boston,Suffolk,Massachusetts,Open,42.3785090760001,-71.049055546,132,Not Available,N
11402720,Dr John C Corrigan Mental Health Center,49 Hillside Street,Fall River,Bristol,Massachusetts,Open,41.707486913,-71.145714465,16,Not Available,N
12101904,Bay Ridge Hospital Beverly,60 Granite Street,Lynn,Essex,Massachusetts,Open,42.471620106,-70.956760931,62,Not Available,N
12001056,Encompass Health Hospital Of Western Mass,222 State Street,Ludlow,Hampden,Massachusetts,Open,42.155775937,-72.472077338,53,Not Available,N
12142728,T J Health Columbia,901 Westlake Drive,Columbia,Adair,Kentucky,Open,37.0966415730001,-85.29454565,74,Not Available,Y
13050144,Decatur County Hospital,1405 Northwest Church Street,Leon,Decatur,Iowa,Open,40.750934665,-93.746940772,25,Level Iv,Y
4466032,Anderson County Hospital,421 South Maple Street,Garnett,Anderson,Kansas,Open,38.2798769950001,-95.250338654,41,Level Iv,Y
7567860,Kearny County Hospital,500 Thorpe Street,Lakin,Kearny,Kansas,Open,37.9465932690001,-101.251929912,25,Not Available,N
7767467,Ottawa County Health Center,215 E 8Th Street,Minneapolis,Ottawa,Kansas,Open,39.1293319640001,-97.7039442509999,42,Not Available,N
3502492,Beth Israel Deaconess Hospital - Needham,148 Chestnut Street,Needham,Norfolk,Massachusetts,Open,42.2771000000001,-71.2368999999999,58,Not Available,N
12402745,Vibra Hospital Of Southwestern Massachusetts,4499 Acushnet Avenue,New Bedford,Bristol,Massachusetts,Open,41.740725232,-70.945753607,90,Not Available,N
4002062,Norwood Hospital,800 Washington Road,Norwood,Norfolk,Massachusetts,Open,42.1890000000001,-71.2021,215,Not Available,Y
12602537,Spaulding Rehabilitation Hospital Cape Cod,311 Service Road,Sandwich,Barnstable,Massachusetts,Open,41.7329844970001,-70.4681028369999,60,Not Available,N
6702143,Cambridge Health Alliance - Somerville Campus,230 Highland Avenue,Somerville,Middlesex,Massachusetts,Open,42.39,-71.1093999999999,124,Not Available,N
12701104,Shriners' Hospital For Children,516 Carew St,Springfield,Hampden,Massachusetts,Open,42.121315027,-72.59237295,40,Not Available,N
372903,Mercy Hospital Fort Smith,7301 Rogers Avenue,Fort Smith,Sebastian,Arkansas,Open,35.355865991,-94.352054967,336,Level Iii,Y
7472901,Healthsouth Rehabilitation Hospital Of Fort Smith,1401 South J Street,Fort Smith,Sebastian,Arkansas,Open,35.3739403050001,-94.4187544819999,80,Not Available,Y
9700000,White County Medical Center - South Campus,1200 South Main Street,Searcy,White,Arkansas,Open,35.2340944110001,-91.731074311,193,Not Available,Y
10172143,White County Medical Center - North Campus,3214 East Race Avenue,Searcy,White,Arkansas,Open,35.2518860440001,-91.697001131,286,Level Iii,Y
10272834,River Valley Medical Center,200 North Third Street,Dardanelle,Yell,Arkansas,Open,35.220476139,-93.157298166,35,Level Iv,N
2271923,Baptist Health Medical Center - Arkadelphia,3050 Twin Rivers Drive,Arkadelphia,Clark,Arkansas,Open,34.1229135660001,-93.088824163,25,Level Iv,Y
872616,Mercy Hospital Berryville,214 Carter Street,Berryville,Carroll,Arkansas,Open,36.359062103,-93.551825772,25,Not Available,Y
1072632,Eureka Springs Hospital,24 Norris Street,Eureka Springs,Carroll,Arkansas,Open,36.400163789,-93.744235921,22,Level Iv,Y
2871653,Southeast Rehabilitation Hospital,2729A Hwy 65 & 82 S,Lake Village,Chicot,Arkansas,Open,33.306293968,-91.289589924,15,Not Available,Y
671671,Bradley County Medical Center,404 South Bradley Street,Warren,Bradley,Arkansas,Open,33.6103641340001,-92.059254885,35,Not Available,Y
8872455,Five River Medical Center,2801 Medical Center Drive,Pocahontas,Randolph,Arkansas,Open,36.2897602730001,-90.99738763,50,Level Iv,Y
2571742,Dallas County Medical Center,201 North Clifton Street,Fordyce,Dallas,Arkansas,Open,33.81085539,-92.425587644,25,Level Iv,Y
6171701,Ouachita Co. Medical Center,638 California Avenue,Camden,Ouachita,Arkansas,Open,33.5758211300001,-92.8367393299999,100,Level Iv,Y
572601,North Arkansas Regional Medical Center,620 North Willow,Harrison,Boone,Arkansas,Open,36.2365313550001,-93.1091393739999,174,Level Iii,Y
1672560,Stone County Medical Center,"2106 East Main Street, Highway 14 East",Mountain View,Stone,Arkansas,Open,35.856583126,-92.0828645349999,25,Level Iv,Y
2372454,Piggott Community Hospital,1206 Gordon Duckworth Drive,Piggott,Clay,Arkansas,Open,36.390119473,-90.20483796,25,Level Iv,Y
1372543,Baptist Health - Heber Springs,1800 Bypass Road,Heber Springs,Cleburne,Arkansas,Open,35.488569576,-92.057981141,25,Level Iv,Y
2472110,St. Vincent Morrilton,4 Hospital Drive,Morrilton,Conway,Arkansas,Open,35.168014912,-92.721351317,35,Level Iv,Y
3072205,Uams Medical Center,4301 West Markham Street,Little Rock,Pulaski,Arkansas,Open,34.7490251460001,-92.320137314,400,Level I,Y
5000000,Baptist Health Medical Center - North Little Rock,3333 Springhill Drive,Little Rock,Pulaski,Arkansas,Open,34.7836548870001,-92.223409163,248,Level Iii,Y
6972113,United Methodist Behavioral Health Systems,1601 Murphy Drive,Maumelle,Pulaski,Arkansas,Open,34.8764356660001,-92.394413249,60,Not Available,N
1971901,Leo N. Levi National Arthritis Hospital,300 Prospect Avenue,Hot Springs,Garland,Arkansas,Open,34.5098970650001,-93.057577489,89,Not Available,N
5971913,Chi St Vincent Hospital Hot Springs,300 Werner Street,Hot Springs,Garland,Arkansas,Open,34.46802567,-93.066270414,289,Level Ii,Y
6600000,Baptist Health Medical Center - Hot Spring County,1001 Schneider Drive,Malvern,Hot Spring,Arkansas,Open,34.358774038,-92.785888401,72,Level Iv,Y
3971603,Arkansas Dept. Of Correction-Diagnostic Unit,7500 Corrections Circle,Pine Bluff,Jefferson,Arkansas,Open,34.2221914250001,-92.082686048,27,Not Available,N
6871603,Jefferson Regional Medical Center,1600 West 40Th Avenue,Pine Bluff,Jefferson,Arkansas,Open,34.1877346910001,-92.017680195,471,Level Iii,Y
2772703,Healthsouth Rehabilitation Hospital,153 East Monte Painter Drive,Fayetteville,Washington,Arkansas,Open,36.109099384,-94.154845038,60,Not Available,N
331404,"Memorial Health Univ Med Cen, Inc",4700 Waters Avenue,Savannah,Chatham,Georgia,Open,32.030530877,-81.088862423,512,Level I,Y
9372703,Vantage Point Of Northwest Arkansas,4253 Crossover Road,Fayetteville,Washington,Arkansas,Open,36.1278907560001,-94.119851426,114,Not Available,Y
9672762,Northwest Medical Center - Willow Creek Women'S Hospital,4301 Greathouse Springs Road,Springdale,Washington,Arkansas,Open,36.1355102700001,-94.1862192249999,64,Not Available,Y
9454915,Ascension Ne Wisconsin St. Elizabeth Hospital,1506 S Oneida St,Appleton,Outagamie,Wisconsin,Open,44.2482512390001,-88.402509675,332,Level Iii,Y
3271953,Mena Regional Health System,311 North Morrow Street,Mena,Polk,Arkansas,Open,34.589053601,-94.221631243,65,Level Iv,Y
4972927,Mercy Hospital Booneville,880 West Main Street,Booneville,Logan,Arkansas,Open,35.1403219220001,-93.9351706319999,25,Level Iv,Y
5172855,Mercy Hospital Paris,500 East Academy,Paris,Logan,Arkansas,Open,35.289293339,-93.724878549,16,Level Iv,Y
62572396,Crossridge Community Hospital,310 South Falls Boulevard,Wynne,Cross,Arkansas,Open,35.219557917,-90.7866405359999,25,Not Available,Y
64072205,Baptist Health Rehabilitation Institute,9601 Baptist Health Drive,Little Rock,Pulaski,Arkansas,Open,34.74429608,-92.381816086,120,Not Available,Y
8053211,Ascension Sacred Heart Rehab Inst,2301 North Lake Drive,Milwaukee,Milwaukee,Wisconsin,Open,43.0614554430001,-87.880384379,31,Not Available,N
14385622,Santa Cruz Valley Hospital,4455 South I-19 Frontage Rd,Green Valley,Pima,Arizona,Open,31.8065711130001,-111.010018508,49,Not Available,Y
62472160,Baptist Health Medical Center-Stuttgart,1703 North Buerkle Road,Stuttgart,Arkansas,Arkansas,Open,34.5175108030001,-91.558299542,49,Level Iv,Y
1042539,Casey County Hospital,187 Wolford Avenue,Liberty,Casey,Kentucky,Open,37.3177168120001,-84.933171913,24,Not Available,Y
5240336,Marcum And Wallace Memorial Hospital,60 Mercy Court,Irvine,Estill,Kentucky,Open,37.7061970980001,-83.977277144,25,Level Iv,Y
3641653,Highlands Regional Medical Center,5000 Kentucky Route 321,Prestonsburg,Floyd,Kentucky,Open,37.729010056,-82.767320076,174,Not Available,Y
7140207,Norton Women'S And Kosair Children'S Hospital,4001 Dutchmans Lane,Louisville,Jefferson,Kentucky,Open,38.235330086,-85.6329369279999,373,Not Available,N
9440215,Saints Mary & Elizabeth Hospital,1850 Bluegrass Avenue,Louisville,Jefferson,Kentucky,Open,38.178264384,-85.793916414,298,Not Available,N
10640207,The Brook - Dupont,1405 Browns Lane,Louisville,Jefferson,Kentucky,Open,38.235696632,-85.6273409469999,88,Not Available,N
240031,Baptist Health La Grange,1025 New Moody Lane,Lagrange,Oldham,Kentucky,Open,38.394890194,-85.3760651539999,90,Not Available,Y
9401605,Adcare Hospital Of Worcester Inc,107 Lincoln Street,Worcester,Worcester,Massachusetts,Open,42.2764120840001,-71.794919787,114,Not Available,N
8401730,Edith Nourse Rogers Memorial Veterans Hospital,200 Springs Road,Bedford,Middlesex,Massachusetts,Open,42.5047000000001,-71.2744,147,Not Available,N
9501913,Amesbury Health Center,24 Morrill Place,Amesbury,Essex,Massachusetts,Open,42.8484143950001,-70.933380246,12,Not Available,N
1202215,Beth Israel Deaconess Medical Center - West Campus,One Deaconess Rd,Boston,Suffolk,Massachusetts,Open,42.3379,-71.1092,405,Level I,Y
9602130,"Arbour Hospital, The",49 Robinwood Avenue,Boston,Suffolk,Massachusetts,Open,42.3158184070001,-71.11227314,136,Not Available,N
8201930,Beverly Hospital Addison Gilbert Campus,298 Washington Street,Gloucester,Essex,Massachusetts,Open,42.6255,-70.6806,79,Not Available,N
11801542,Vibra Hospital Of Western Mass Central Campus,111 Huntoon Memorial Highway,Leicester,Worcester,Massachusetts,Open,42.201899283,-71.8988273429999,47,Not Available,N
13925027,Worcester Recovery Center And Hospital,309 Belmont Street,Worcester,Worcester,Massachusetts,Open,42.279667187,-71.769066943,166,Not Available,N
4204730,Houlton Regional Hospital,20 Hartford Street,Houlton,Aroostook,Maine,Open,46.1338462430001,-67.843623468,25,Not Available,Y
2804901,Northern Light Inland Hospital,200 Kennedy Memorial Drive,Waterville,Kennebec,Maine,Open,44.541826482,-69.661491065,48,Not Available,Y
4648624,Midmichigan Medical Center-Gladwin,515 Quarter Street,Gladwin,Gladwin,Michigan,Open,43.975943671,-84.493887563,25,Not Available,Y
7349868,Helen Newberry Joy Hospital,502 W Harrie St,Newberry,Luce,Michigan,Open,46.3531800920001,-85.515653738,25,Not Available,N
1549862,Munising Memorial Hospital,1500 Sand Point Rd,Munising,Alger,Michigan,Open,46.4252710700001,-86.625185297,11,Not Available,N
10902167,Bournewood Hospital,300 South Street,Brookline,Norfolk,Massachusetts,Open,42.298318572,-71.1492856839999,90,Not Available,N
5848843,Saint Joseph Mercy Livingston Hospital,620 Byron Rd,Howell,Livingston,Michigan,Open,42.6155875640001,-83.940990396,136,Not Available,Y
1649242,Hillsdale Community Health Center,168 S Howell Street,Hillsdale,Hillsdale,Michigan,Open,41.9117386880001,-84.633003534,65,Not Available,Y
10048071,Dmc Surgery Hospital,30671 Stephenson Highway,Madison Heights,Oakland,Michigan,Open,42.517887537,-83.120107267,36,Not Available,N
3049098,"Lakeland Community Hospital, Watervliet",400 Medical Park Dr,Watervliet,Berrien,Michigan,Open,42.1848804640001,-86.249925827,38,Not Available,Y
5648858,Mclaren Central Michigan,1221 South Drive,Mount Pleasant,Isabella,Michigan,Open,43.5991224840001,-84.7614128609999,118,Not Available,Y
